7_days_ago,6_days_ago,5_days_ago,4_days_ago,3_days_ago,2_days_ago,1_days_ago,0_days_ago,sales_change,current_price
0.0,0.32,0.0,0.0,0.0,0.0,-0.32,0.65,-7.66,3.11
0.0,0.0,0.0,0.0,0.0,3.6,-2.43,-0.36,50.0,2.8
0.0,0.0,0.0,0.0,0.0,2.83,-0.92,-0.31,-50.0,3.23
0.32,0.0,0.0,0.0,0.0,-0.32,0.65,0.0,8.3,3.11
0.0,0.0,0.0,0.0,3.6,-2.43,-0.36,0.0,11.11,2.8
0.0,0.0,0.0,0.0,2.83,-0.92,-0.31,0.0,0.0,3.23
0.0,0.0,0.0,0.0,-0.32,0.65,0.0,0.32,-3.57,3.12
0.0,0.0,0.0,3.6,-2.43,-0.36,0.0,0.0,-70.0,2.8
0.0,0.0,0.0,2.83,-0.92,-0.31,0.0,0.0,-33.33,3.23
0.0,0.0,0.0,-0.32,0.65,0.0,0.32,11.54,-4.62,3.48
0.0,0.0,3.6,-2.43,-0.36,0.0,0.0,0.0,66.67,2.8
0.0,0.0,2.83,-0.92,-0.31,0.0,0.0,0.0,0.0,3.23
0.0,0.0,-0.32,0.65,0.0,0.32,11.54,-0.29,1.16,3.47
0.0,3.6,-2.43,-0.36,0.0,0.0,0.0,0.0,0.0,2.8
0.0,2.83,-0.92,-0.31,0.0,0.0,0.0,0.0,150.0,3.23
0.0,-0.32,0.65,0.0,0.32,11.54,-0.29,0.0,-2.3,3.47
3.6,-2.43,-0.36,0.0,0.0,0.0,0.0,0.0,-60.0,2.8
2.83,-0.92,-0.31,0.0,0.0,0.0,0.0,5.26,-80.0,3.4
0.0,0.0,8.59,0.0,-1.55,0.0,0.0,2.68,-66.67,6.52
0.0,0.0,-6.22,6.63,0.0,0.0,0.0,5.22,-61.54,4.23
-0.32,0.65,0.0,0.32,11.54,-0.29,0.0,0.29,-10.0,3.48
-0.92,-0.31,0.0,0.0,0.0,0.0,5.26,10.88,100.0,3.77
0.0,8.59,0.0,-1.55,0.0,0.0,2.68,0.0,0.0,6.52
-7.28,-2.86,0.0,0.0,0.0,0.0,0.0,8.82,-28.57,1.48
0.0,-6.22,6.63,0.0,0.0,0.0,5.22,7.33,120.0,4.54
-0.25,0.0,0.0,0.0,0.0,0.0,2.24,12.17,0.0,4.61
1.02,-2.02,0.0,0.0,0.0,1.03,0.0,0.0,100.0,0.98
0.65,0.0,0.32,11.54,-0.29,0.0,0.29,-0.57,4.79,3.46
-0.31,0.0,0.0,0.0,0.0,5.26,10.88,0.0,100.0,3.77
8.59,0.0,-1.55,0.0,0.0,2.68,0.0,0.0,300.0,6.52
0.0,0.0,0.0,0.0,0.0,0.8,5.56,0.75,48.78,2.68
0.0,0.0,0.0,0.0,0.0,2.17,16.97,2.07,20.0,3.94
0.0,0.0,0.0,0.0,0.0,1.13,7.26,1.04,-68.18,1.94
0.0,0.0,0.0,0.0,0.0,3.48,10.82,1.52,-7.14,4.68
0.0,0.0,0.0,0.0,0.0,1.01,7.0,1.25,42.86,3.25
0.0,0.0,0.0,0.0,0.0,2.26,6.08,1.04,-19.05,1.94
-2.86,0.0,0.0,0.0,0.0,0.0,8.82,8.78,0.0,1.61
-6.22,6.63,0.0,0.0,0.0,5.22,7.33,3.08,-9.09,4.68
0.0,0.0,0.0,0.0,0.0,1.6,8.66,1.45,77.78,1.4
0.0,0.0,0.0,0.0,0.0,-3.74,-0.52,4.43,-63.64,4.01
0.0,0.0,0.0,0.0,0.0,0.6,8.98,1.1,83.33,1.84
0.0,0.0,0.0,0.0,0.0,3.48,10.82,1.52,71.43,4.68
0.0,0.0,0.0,0.0,0.0,2.51,3.18,0.59,33.33,8.48
0.0,0.0,0.0,0.0,0.0,2.24,12.17,1.52,9.09,4.68
0.0,0.32,11.54,-0.29,0.0,0.29,-0.57,-0.29,5.61,3.45
0.0,0.0,0.0,0.0,0.0,0.88,5.22,1.65,100.0,2.46
0.0,0.0,0.0,0.0,5.26,10.88,0.0,4.51,25.0,3.94
0.0,0.0,0.0,0.0,0.0,0.88,4.35,1.67,200.0,2.44
0.0,0.0,0.0,0.0,0.8,5.56,0.75,0.0,-31.15,2.68
0.0,0.0,0.0,0.0,2.17,16.97,2.07,0.0,-33.33,3.94
0.0,0.0,0.0,0.0,1.13,7.26,1.04,0.0,28.57,1.94
0.0,0.0,0.0,0.0,3.48,10.82,1.52,0.0,7.69,4.68
0.0,0.0,0.0,0.0,1.01,7.0,1.25,0.0,70.0,3.25
0.0,0.0,0.0,0.0,2.26,6.08,1.04,0.0,5.88,1.94
0.0,0.0,0.0,0.0,0.0,1.8,1.76,0.43,0.0,6.95
6.63,0.0,0.0,0.0,5.22,7.33,3.08,0.0,0.0,4.68
0.0,0.0,0.0,0.0,1.6,8.66,1.45,0.0,56.25,1.4
0.0,0.0,0.0,0.0,-3.74,-0.52,4.43,0.0,325.0,4.01
0.0,0.0,0.0,0.0,0.6,8.98,1.1,0.0,-9.09,1.84
0.0,0.0,0.0,0.0,3.48,10.82,1.52,0.0,-50.0,4.68
0.0,0.0,0.0,0.0,2.51,3.18,0.59,0.0,-75.0,8.48
0.0,0.0,0.0,0.0,2.24,12.17,1.52,0.0,25.0,4.68
0.0,0.0,0.0,0.0,0.0,1.75,3.45,1.67,200.0,2.44
0.32,11.54,-0.29,0.0,0.29,-0.57,-0.29,0.0,8.46,3.45
0.0,0.0,0.0,0.0,0.88,5.22,1.65,0.0,-50.0,2.46
0.0,0.0,0.0,0.0,12.0,1.43,0.0,1.41,-56.25,1.44
0.0,0.0,0.0,0.0,3.76,1.66,0.0,0.59,-50.0,6.78
0.0,0.0,0.0,5.26,10.88,0.0,4.51,0.0,-80.0,3.94
0.0,0.0,0.0,0.0,5.72,2.23,0.0,2.18,-30.0,3.28
0.0,0.0,0.0,0.0,0.88,4.35,1.67,1.64,-50.0,2.48
0.0,0.0,0.0,0.0,1.99,5.84,0.0,0.61,187.5,1.64
0.0,0.0,0.0,0.8,5.56,0.75,0.0,0.0,-4.76,2.68
0.0,0.0,0.0,2.17,16.97,2.07,0.0,0.0,0.0,3.94
0.0,0.0,0.0,1.13,7.26,1.04,0.0,0.0,55.56,1.94
0.0,0.0,0.0,3.48,10.82,1.52,0.0,0.0,-57.14,4.68
0.0,0.0,0.0,0.0,3.95,1.9,0.0,1.24,100.0,1.63
0.0,0.0,0.0,1.01,7.0,1.25,0.0,0.92,-29.41,3.28
0.0,0.0,0.0,2.26,6.08,1.04,0.0,0.0,-5.56,1.94
0.0,0.0,0.0,0.0,8.82,8.78,0.0,-3.73,100.0,1.55
0.0,0.0,0.0,0.0,10.4,1.45,0.0,1.43,400.0,1.42
0.0,0.0,0.0,0.0,1.8,1.76,0.43,0.43,75.0,6.98
0.0,0.0,0.0,5.22,7.33,3.08,0.0,0.0,-30.0,4.68
0.0,0.0,0.0,1.6,8.66,1.45,0.0,0.0,20.0,1.4
0.0,0.0,0.0,-3.74,-0.52,4.43,0.0,0.0,-5.88,4.01
0.0,0.0,0.0,0.6,8.98,1.1,0.0,0.0,10.0,1.84
0.0,0.0,0.0,3.48,10.82,1.52,0.0,0.0,-33.33,4.68
0.0,0.0,0.0,2.51,3.18,0.59,0.0,0.0,100.0,8.48
0.0,0.0,0.0,2.24,12.17,1.52,0.0,0.0,-46.67,4.68
0.0,0.0,0.0,0.0,1.75,3.45,1.67,0.82,-66.67,2.46
0.0,0.0,0.0,0.0,0.0,-1.02,1.03,-1.02,141.46,0.97
11.54,-0.29,0.0,0.29,-0.57,-0.29,0.0,0.0,-4.72,3.45
0.0,0.0,0.0,0.88,5.22,1.65,0.0,0.81,50.0,2.48
0.0,0.0,0.0,12.0,1.43,0.0,1.41,0.0,42.86,1.44
0.0,0.0,0.0,3.76,1.66,0.0,0.59,0.0,100.0,6.78
0.0,0.0,5.26,10.88,0.0,4.51,0.0,0.0,0.0,3.94
0.0,0.0,0.0,5.72,2.23,0.0,2.18,0.0,28.57,3.28
0.0,0.0,0.0,0.88,4.35,1.67,1.64,0.0,-100.0,2.48
0.0,0.0,0.0,1.99,5.84,0.0,0.61,0.0,-69.57,1.64
0.0,0.0,0.8,5.56,0.75,0.0,0.0,0.0,-7.5,2.68
0.0,0.0,0.0,8.08,1.25,0.0,0.0,0.92,55.56,3.28
0.0,0.0,2.17,16.97,2.07,0.0,0.0,0.0,0.0,3.94
0.0,0.0,0.0,1.49,0.0,0.0,-2.94,3.03,100.0,1.36
0.0,0.0,1.13,7.26,1.04,0.0,0.0,0.0,-7.14,1.94
0.0,0.0,3.48,10.82,1.52,0.0,0.0,0.0,33.33,4.68
0.0,0.0,0.0,8.08,1.25,0.0,0.0,0.92,-37.5,3.28
0.0,0.0,0.0,3.95,1.9,0.0,1.24,0.0,20.0,1.63
0.0,0.0,1.01,7.0,1.25,0.0,0.92,0.0,-50.0,3.28
0.0,0.0,2.26,6.08,1.04,0.0,0.0,0.0,-5.88,1.94
0.0,0.0,0.0,8.82,8.78,0.0,-3.73,1.94,-50.0,1.58
0.0,0.0,0.0,4.38,1.05,0.0,0.0,0.59,-28.57,6.78
0.0,0.0,0.0,10.4,1.45,0.0,1.43,1.41,-88.0,1.44
0.0,0.0,0.0,1.8,1.76,0.43,0.43,0.0,-85.71,6.98
0.0,0.0,5.22,7.33,3.08,0.0,0.0,0.0,0.0,4.68
0.0,0.0,1.6,8.66,1.45,0.0,0.0,2.86,-96.67,1.44
0.0,0.0,-3.74,-0.52,4.43,0.0,0.0,0.0,-31.25,4.01
0.0,0.0,0.6,8.98,1.1,0.0,0.0,0.0,-100.0,1.84
0.0,0.0,3.48,10.82,1.52,0.0,0.0,0.0,25.0,4.68
0.0,0.0,2.51,3.18,0.59,0.0,0.0,0.0,0.0,8.48
0.0,0.0,2.24,12.17,1.52,0.0,0.0,0.0,12.5,4.68
0.0,0.0,0.0,1.75,3.45,1.67,0.82,0.81,100.0,2.48
0.0,0.0,0.0,0.0,-1.02,1.03,-1.02,0.0,15.15,0.97
-0.29,0.0,0.29,-0.57,-0.29,0.0,0.0,0.29,2.1,3.46
0.0,0.0,0.88,5.22,1.65,0.0,0.81,0.0,-66.67,2.48
0.0,0.0,12.0,1.43,0.0,1.41,0.0,0.0,50.0,1.44
0.0,0.0,3.76,1.66,0.0,0.59,0.0,0.0,-50.0,6.78
0.0,5.26,10.88,0.0,4.51,0.0,0.0,0.0,200.0,3.94
0.0,0.0,5.72,2.23,0.0,2.18,0.0,0.0,-44.44,3.28
0.0,0.0,0.88,4.35,1.67,1.64,0.0,0.0,100.0,2.48
0.0,0.0,1.99,5.84,0.0,0.61,0.0,0.0,42.86,1.64
0.0,0.8,5.56,0.75,0.0,0.0,0.0,0.0,-27.03,2.68
0.0,0.0,8.08,1.25,0.0,0.0,0.92,0.0,-14.29,3.28
0.0,2.17,16.97,2.07,0.0,0.0,0.0,0.0,-25.0,3.94
0.0,0.0,1.49,0.0,0.0,-2.94,3.03,0.0,-7.14,1.36
0.0,1.13,7.26,1.04,0.0,0.0,0.0,0.0,15.38,1.94
0.0,3.48,10.82,1.52,0.0,0.0,0.0,0.0,50.0,4.68
0.0,0.0,8.08,1.25,0.0,0.0,0.92,0.0,-20.0,3.28
0.0,0.0,3.95,1.9,0.0,1.24,0.0,0.0,-16.67,1.63
0.0,1.01,7.0,1.25,0.0,0.92,0.0,0.0,216.67,3.28
0.0,2.26,6.08,1.04,0.0,0.0,0.0,0.0,-12.5,1.94
0.0,0.0,8.82,8.78,0.0,-3.73,1.94,0.0,0.0,1.58
0.0,0.0,4.38,1.05,0.0,0.0,0.59,0.0,-20.0,6.78
0.0,0.0,10.4,1.45,0.0,1.43,1.41,0.0,266.67,1.44
0.0,0.0,1.8,1.76,0.43,0.43,0.0,0.0,800.0,6.98
0.0,5.22,7.33,3.08,0.0,0.0,0.0,0.0,0.0,4.68
0.0,1.6,8.66,1.45,0.0,0.0,2.86,0.0,1300.0,1.44
0.0,-3.74,-0.52,4.43,0.0,0.0,0.0,0.0,-36.36,4.01
0.0,0.6,8.98,1.1,0.0,0.0,0.0,0.0,100.0,1.84
0.0,3.48,10.82,1.52,0.0,0.0,0.0,0.0,80.0,4.68
0.0,2.51,3.18,0.59,0.0,0.0,0.0,0.0,-25.0,8.48
0.0,2.24,12.17,1.52,0.0,0.0,0.0,0.0,-11.11,4.68
0.0,0.0,1.75,3.45,1.67,0.82,0.81,0.0,-25.0,2.48
0.0,0.0,0.0,-1.02,1.03,-1.02,0.0,0.0,-23.68,0.97
0.0,0.29,-0.57,-0.29,0.0,0.0,0.29,0.0,11.75,3.46
0.0,0.88,5.22,1.65,0.0,0.81,0.0,0.0,500.0,2.48
0.0,12.0,1.43,0.0,1.41,0.0,0.0,0.0,-73.33,1.44
0.0,3.76,1.66,0.0,0.59,0.0,0.0,0.0,50.0,6.78
5.26,10.88,0.0,4.51,0.0,0.0,0.0,0.0,0.0,3.94
0.0,5.72,2.23,0.0,2.18,0.0,0.0,0.0,0.0,3.28
0.0,0.88,4.35,1.67,1.64,0.0,0.0,0.0,-75.0,2.48
0.0,1.99,5.84,0.0,0.61,0.0,0.0,0.0,-50.0,1.64
0.8,5.56,0.75,0.0,0.0,0.0,0.0,0.0,7.41,2.68
0.0,8.08,1.25,0.0,0.0,0.92,0.0,0.0,-16.67,3.28
2.17,16.97,2.07,0.0,0.0,0.0,0.0,0.0,33.33,3.94
0.0,1.49,0.0,0.0,-2.94,3.03,0.0,0.0,-38.46,1.36
1.13,7.26,1.04,0.0,0.0,0.0,0.0,0.0,-33.33,1.94
3.48,10.82,1.52,0.0,0.0,0.0,0.0,0.0,91.67,4.68
0.0,8.08,1.25,0.0,0.0,0.92,0.0,0.0,-75.0,3.28
0.0,3.95,1.9,0.0,1.24,0.0,0.0,0.0,60.0,1.63
1.01,7.0,1.25,0.0,0.92,0.0,0.0,0.0,-10.53,3.28
2.26,6.08,1.04,0.0,0.0,0.0,0.0,0.0,78.57,1.94
0.0,8.82,8.78,0.0,-3.73,1.94,0.0,0.0,40.0,1.58
0.0,0.0,0.0,0.0,0.0,8.26,2.54,1.24,66.67,2.45
0.0,0.0,0.0,0.0,0.0,11.01,1.24,1.22,0.0,2.48
0.0,4.38,1.05,0.0,0.0,0.59,0.0,0.0,-75.0,6.78
0.0,10.4,1.45,0.0,1.43,1.41,0.0,0.0,0.0,1.44
0.0,1.8,1.76,0.43,0.43,0.0,0.0,0.0,11.11,6.98
5.22,7.33,3.08,0.0,0.0,0.0,0.0,0.0,100.0,4.68
1.6,8.66,1.45,0.0,0.0,2.86,0.0,0.0,7.14,1.44
-3.74,-0.52,4.43,0.0,0.0,0.0,0.0,0.0,142.86,4.01
0.6,8.98,1.1,0.0,0.0,0.0,0.0,0.0,77.78,1.84
3.48,10.82,1.52,0.0,0.0,0.0,0.0,0.0,-44.44,4.68
2.51,3.18,0.59,0.0,0.0,0.0,0.0,0.0,100.0,8.48
2.24,12.17,1.52,0.0,0.0,0.0,0.0,0.0,25.0,4.68
0.0,1.75,3.45,1.67,0.82,0.81,0.0,0.0,-33.33,2.48
0.0,0.0,-1.02,1.03,-1.02,0.0,0.0,0.0,2.3,0.97
0.29,-0.57,-0.29,0.0,0.0,0.29,0.0,0.29,-4.34,3.47
0.88,5.22,1.65,0.0,0.81,0.0,0.0,0.0,-66.67,2.48
12.0,1.43,0.0,1.41,0.0,0.0,0.0,0.0,300.0,1.44
3.76,1.66,0.0,0.59,0.0,0.0,0.0,0.0,33.33,6.78
5.72,2.23,0.0,2.18,0.0,0.0,0.0,0.0,80.0,3.28
0.88,4.35,1.67,1.64,0.0,0.0,0.0,0.0,150.0,2.48
1.99,5.84,0.0,0.61,0.0,0.0,0.0,0.0,140.0,1.64
8.08,1.25,0.0,0.0,0.92,0.0,0.0,0.0,-50.0,3.28
0.0,0.0,0.0,0.0,0.0,-1.52,0.77,1.68,-66.67,6.65
1.49,0.0,0.0,-2.94,3.03,0.0,0.0,0.0,50.0,1.36
8.08,1.25,0.0,0.0,0.92,0.0,0.0,0.0,600.0,3.28
3.95,1.9,0.0,1.24,0.0,0.0,0.0,0.0,-12.5,1.63
0.0,0.0,0.0,0.0,-2.17,0.0,-1.27,-4.81,700.0,2.97
7.0,1.25,0.0,0.92,0.0,0.0,0.0,0.0,-47.06,3.28
0.0,0.0,0.0,0.0,4.13,6.61,0.0,-6.2,-70.0,2.27
8.82,8.78,0.0,-3.73,1.94,0.0,0.0,0.0,42.86,1.58
0.0,0.0,0.0,0.0,8.26,2.54,1.24,1.22,-80.0,2.48
0.0,0.0,0.0,0.0,11.01,1.24,1.22,0.0,66.67,2.48
4.38,1.05,0.0,0.0,0.59,0.0,0.0,0.0,200.0,6.78
